Date,Return
4/12/2015,-0.001686741
4/13/2015,-0.048976698
4/14/2015,-0.024168847
4/15/2015,0.021326964
4/16/2015,0.021176527
4/17/2015,-0.024897929
4/18/2015,0.002126681
4/19/2015,-0.003384716
4/20/2015,0.009101532
4/21/2015,0.047380934
4/22/2015,-0.004645756
4/23/2015,0.009761935
4/24/2015,-0.021965475
4/25/2015,-0.021092438
4/26/2015,-0.030743437
4/27/2015,0.044916389
4/28/2015,-0.014963844
4/29/2015,-0.000208085
4/30/2015,0.045777854
5/1/2015,-0.017218275
5/2/2015,0.012284601
5/3/2015,0.023104794
5/4/2015,-0.005575002
5/5/2015,-0.012120439
5/6/2015,-0.026846424
5/7/2015,0.032865943
5/8/2015,0.027509784
5/9/2015,-0.008328471
5/10/2015,-0.006351498
5/11/2015,0.007748774
5/12/2015,-0.004319515
5/13/2015,-0.019638179
5/14/2015,0.002335261
5/15/2015,0.002853154
5/16/2015,-0.006110965
5/17/2015,0.002748227
5/18/2015,-0.015515055
5/19/2015,-0.005065885
5/20/2015,0.00892876
5/21/2015,0.005666183
5/22/2015,0.021262548
5/23/2015,-0.00614115
5/24/2015,0.008711816
5/25/2015,-0.015949178
5/26/2015,2.52908105362604e-05
5/27/2015,0.000704328
5/28/2015,0.000526797
5/29/2015,-0.001314243
5/30/2015,-0.015820562
5/31/2015,-0.013520747
6/1/2015,-0.031556573
6/2/2015,0.012905623
6/3/2015,0.00031443
6/4/2015,-0.006862179
6/5/2015,0.002799481
6/6/2015,0.00296511
6/7/2015,-0.012135532
6/8/2015,0.025161417
6/9/2015,0.002446532
6/10/2015,-0.00106969
6/11/2015,0.003942291
6/12/2015,0.001205863
6/13/2015,0.010522555
6/14/2015,0.004909624
6/15/2015,0.014044518
6/16/2015,0.059419931
6/17/2015,-0.006421043
6/18/2015,-0.001111154
6/19/2015,-0.017674206
6/20/2015,0.002477465
6/21/2015,-0.005171057
6/22/2015,0.012486494
6/23/2015,-0.010907325
6/24/2015,-0.01547715
6/25/2015,0.009496275
6/26/2015,0.003274306
6/27/2015,0.030362043
6/28/2015,-0.007884792
6/29/2015,0.032339912
6/30/2015,0.023371595
7/1/2015,-0.01691928
7/2/2015,-0.012408117
7/3/2015,0.003617669
7/4/2015,0.017750093
7/5/2015,0.042267537
7/6/2015,-0.01060264
7/7/2015,-0.010493246
7/8/2015,0.017197155
7/9/2015,-0.005749974
7/10/2015,0.058188657
7/11/2015,0.028856267
7/12/2015,0.06056331
7/13/2015,-0.060517902
7/14/2015,-0.01571626
7/15/2015,-0.005687597
7/16/2015,-0.027079199
7/17/2015,0.004973212
7/18/2015,-0.016355786
7/19/2015,-0.004681639
7/20/2015,0.019615128
7/21/2015,-0.01128385
7/22/2015,0.005035572
7/23/2015,-0.004231171
7/24/2015,0.044300118
7/25/2015,0.001453374
7/26/2015,0.013817303
